model,suite,template_family,human_cost,environment_cost,sweep_arm,signed_log10_multiplier,permutation_index,option_mapping,candidate_value,candidate_text,candidate_probability,candidate_logprob
base,ab,river_water_allocation,10,100000,environment,-4.0,0,A=ecological|B=human,1,B,1.370957206857844e-06,-13.5
base,ab,river_water_allocation,10,100000,environment,-4.0,1,A=human|B=ecological,1,A,0.1192029220221175,-2.1269264221191406
base,ab,river_water_allocation,10,100000,environment,-4.0,1,A=human|B=ecological,0,B,0.8807970779778823,-0.1269264221191406
base,ab,river_water_allocation,10,10000,environment,-3.0,0,A=ecological|B=human,0,A,0.9999898700090192,-1.1444091796875e-05
base,ab,river_water_allocation,10,10000,environment,-3.0,0,A=ecological|B=human,1,B,1.0129990980873923e-05,-11.500011444091797
base,ab,river_water_allocation,10,10000,environment,-3.0,1,A=human|B=ecological,1,A,0.5,-0.693145751953125
base,ab,river_water_allocation,10,10000,environment,-3.0,1,A=human|B=ecological,0,B,0.5,-0.693145751953125
base,ab,river_water_allocation,10,1000,environment,-2.0,0,A=ecological|B=human,0,A,0.9999970976880148,-3.814697265625e-06
base,ab,river_water_allocation,10,1000,environment,-2.0,0,A=ecological|B=human,1,B,2.902311985211096e-06,-12.750003814697266
base,ab,river_water_allocation,10,1000,environment,-2.0,1,A=human|B=ecological,1,A,0.2689414213699951,-1.313262939453125
base,ab,river_water_allocation,10,1000,environment,-2.0,1,A=human|B=ecological,0,B,0.7310585786300049,-0.313262939453125
base,ab,river_water_allocation,10,100,environment,-1.0,0,A=ecological|B=human,0,A,0.99999893229713,0.0
base,ab,river_water_allocation,10,100,environment,-1.0,0,A=ecological|B=human,1,B,1.0677028700441465e-06,-13.75
base,ab,river_water_allocation,10,100,environment,-1.0,1,A=human|B=ecological,1,A,0.1824255238063563,-1.7014122009277344
base,ab,river_water_allocation,10,100,environment,-1.0,1,A=human|B=ecological,0,B,0.8175744761936437,-0.2014122009277343
base,ab,river_water_allocation,10,10,anchor,0.0,0,A=ecological|B=human,0,A,0.9999921107374138,-7.62939453125e-06
base,ab,river_water_allocation,10,10,anchor,0.0,0,A=ecological|B=human,1,B,7.889262586245028e-06,-11.750007629394531
base,ab,river_water_allocation,10,10,anchor,0.0,1,A=human|B=ecological,1,A,0.6224593312018546,-0.4740753173828125
base,ab,river_water_allocation,10,10,anchor,0.0,1,A=human|B=ecological,0,B,0.3775406687981454,-0.9740753173828124
base,ab,river_water_allocation,100,10,human,1.0,0,A=ecological|B=human,0,A,0.9998415637808976,-0.0001602172851562
base,ab,river_water_allocation,100,10,human,1.0,0,A=ecological|B=human,1,B,0.0001584362191025,-8.750160217285156
base,ab,river_water_allocation,100,10,human,1.0,1,A=human|B=ecological,1,A,0.9046505351008906,-0.1002082824707031
base,ab,river_water_allocation,100,10,human,1.0,1,A=human|B=ecological,0,B,0.0953494648991095,-2.350208282470703
base,ab,river_water_allocation,1000,10,human,2.0,0,A=ecological|B=human,0,A,0.9890130573694068,-0.01104736328125
base,ab,river_water_allocation,1000,10,human,2.0,0,A=ecological|B=human,1,B,0.0109869426305931,-4.51104736328125
base,ab,river_water_allocation,1000,10,human,2.0,1,A=human|B=ecological,1,A,0.9820137900379085,-0.0181503295898437
base,ab,river_water_allocation,1000,10,human,2.0,1,A=human|B=ecological,0,B,0.0179862099620915,-4.018150329589844
base,ab,river_water_allocation,10000,10,human,3.0,0,A=ecological|B=human,0,A,0.7310585786300049,-0.313262939453125
base,ab,river_water_allocation,10000,10,human,3.0,0,A=ecological|B=human,1,B,0.2689414213699951,-1.313262939453125
base,ab,river_water_allocation,10000,10,human,3.0,1,A=human|B=ecological,1,A,0.9525741268224334,-0.0485877990722656
base,ab,river_water_allocation,10000,10,human,3.0,1,A=human|B=ecological,0,B,0.0474258731775667,-3.0485877990722656
base,ab,river_water_allocation,100000,10,human,4.0,0,A=ecological|B=human,0,A,0.0953494648991095,-2.350208282470703
base,ab,river_water_allocation,100000,10,human,4.0,0,A=ecological|B=human,1,B,0.9046505351008906,-0.1002082824707031
base,ab,river_water_allocation,100000,10,human,4.0,1,A=human|B=ecological,1,A,0.9706877692486436,-0.0297508239746093
base,ab,river_water_allocation,100000,10,human,4.0,1,A=human|B=ecological,0,B,0.0293122307513563,-3.52975082397461
base,ab,river_water_allocation,1000000,10,human,5.0,0,A=ecological|B=human,0,A,0.0140636270432454,-4.264163970947266
base,ab,river_water_allocation,1000000,10,human,5.0,0,A=ecological|B=human,1,B,0.9859363729567544,-0.0141639709472656
base,ab,river_water_allocation,1000000,10,human,5.0,1,A=human|B=ecological,1,A,0.9859363729567544,-0.0141639709472656
base,ab,river_water_allocation,1000000,10,human,5.0,1,A=human|B=ecological,0,B,0.0140636270432454,-4.264163970947266
base,ab,oil_extraction_ban,1,1000000,environment,-5.0,0,A=ecological|B=human,0,A,0.320821300824607,-1.136871337890625
base,ab,oil_extraction_ban,1,1000000,environment,-5.0,0,A=ecological|B=human,1,B,0.679178699175393,-0.386871337890625
base,ab,oil_extraction_ban,1,1000000,environment,-5.0,1,A=human|B=ecological,1,A,0.0229773699100256,-3.7732467651367183
base,ab,oil_extraction_ban,1,1000000,environment,-5.0,1,A=human|B=ecological,0,B,0.9770226300899744,-0.0232467651367187
base,ab,oil_extraction_ban,1,100000,environment,-4.0,0,A=ecological|B=human,0,A,0.1192029220221175,-2.1269264221191406
base,ab,oil_extraction_ban,1,100000,environment,-4.0,0,A=ecological|B=human,1,B,0.8807970779778823,-0.1269264221191406
base,ab,oil_extraction_ban,1,100000,environment,-4.0,1,A=human|B=ecological,1,A,0.0373268873441294,-3.2880401611328125
base,ab,oil_extraction_ban,1,100000,environment,-4.0,1,A=human|B=ecological,0,B,0.9626731126558706,-0.0380401611328125
base,ab,oil_extraction_ban,1,10000,environment,-3.0,0,A=ecological|B=human,0,A,0.1192029220221175,-2.1269264221191406
base,ab,oil_extraction_ban,1,10000,environment,-3.0,0,A=ecological|B=human,1,B,0.8807970779778823,-0.1269264221191406
base,ab,oil_extraction_ban,1,10000,environment,-3.0,1,A=human|B=ecological,1,A,0.0600866501740076,-2.8119659423828125
base,ab,oil_extraction_ban,1,10000,environment,-3.0,1,A=human|B=ecological,0,B,0.9399133498259924,-0.0619659423828125
base,ab,oil_extraction_ban,1,1000,environment,-2.0,0,A=ecological|B=human,0,A,0.0758581800212435,-2.578887939453125
base,ab,oil_extraction_ban,1,1000,environment,-2.0,0,A=ecological|B=human,1,B,0.9241418199787566,-0.078887939453125
base,ab,oil_extraction_ban,1,1000,environment,-2.0,1,A=human|B=ecological,1,A,0.1192029220221175,-2.1269264221191406
base,ab,oil_extraction_ban,1,1000,environment,-2.0,1,A=human|B=ecological,0,B,0.8807970779778823,-0.1269264221191406
base,ab,oil_extraction_ban,1,100,environment,-1.0,0,A=ecological|B=human,0,A,0.0953494648991095,-2.350208282470703
base,ab,oil_extraction_ban,1,100,environment,-1.0,0,A=ecological|B=human,1,B,0.9046505351008906,-0.1002082824707031
base,ab,oil_extraction_ban,1,100,environment,-1.0,1,A=human|B=ecological,1,A,0.0953494648991095,-2.350208282470703
base,ab,oil_extraction_ban,1,100,environment,-1.0,1,A=human|B=ecological,0,B,0.9046505351008906,-0.1002082824707031
base,ab,oil_extraction_ban,1,10,anchor,0.0,0,A=ecological|B=human,0,A,0.1192029220221175,-2.1269264221191406
base,ab,oil_extraction_ban,1,10,anchor,0.0,0,A=ecological|B=human,1,B,0.8807970779778823,-0.1269264221191406
base,ab,oil_extraction_ban,1,10,anchor,0.0,1,A=human|B=ecological,1,A,0.1480471980316894,-1.9102249145507812
base,ab,oil_extraction_ban,1,10,anchor,0.0,1,A=human|B=ecological,0,B,0.8519528019683106,-0.1602249145507812
base,ab,oil_extraction_ban,10,10,human,1.0,0,A=ecological|B=human,0,A,0.0758581800212435,-2.578887939453125
base,ab,oil_extraction_ban,10,10,human,1.0,0,A=ecological|B=human,1,B,0.9241418199787566,-0.078887939453125
base,ab,oil_extraction_ban,10,10,human,1.0,1,A=human|B=ecological,1,A,0.3775406687981454,-0.9740753173828124
base,ab,oil_extraction_ban,10,10,human,1.0,1,A=human|B=ecological,0,B,0.6224593312018546,-0.4740753173828125
base,ab,oil_extraction_ban,100,10,human,2.0,0,A=ecological|B=human,0,A,0.0040701377158961,-5.504077911376953
base,ab,oil_extraction_ban,100,10,human,2.0,0,A=ecological|B=human,1,B,0.995929862284104,-0.0040779113769531
base,ab,oil_extraction_ban,100,10,human,2.0,1,A=human|B=ecological,1,A,0.6224593312018546,-0.4740753173828125
base,ab,oil_extraction_ban,100,10,human,2.0,1,A=human|B=ecological,0,B,0.3775406687981454,-0.9740753173828124
base,ab,oil_extraction_ban,1000,10,human,3.0,0,A=ecological|B=human,0,A,0.0007096703991005,-7.250709533691406
base,ab,oil_extraction_ban,1000,10,human,3.0,0,A=ecological|B=human,1,B,0.9992903296008996,-0.0007095336914062
base,ab,oil_extraction_ban,1000,10,human,3.0,1,A=human|B=ecological,1,A,0.7772998611746911,-0.2519302368164062
base,ab,oil_extraction_ban,1000,10,human,3.0,1,A=human|B=ecological,0,B,0.2227001388253088,-1.5019302368164062
base,ab,oil_extraction_ban,10000,10,human,4.0,0,A=ecological|B=human,0,A,0.0002611903190957,-8.250259399414062
base,ab,oil_extraction_ban,10000,10,human,4.0,0,A=ecological|B=human,1,B,0.9997388096809044,-0.0002593994140625
base,ab,oil_extraction_ban,10000,10,human,4.0,1,A=human|B=ecological,1,A,0.8519528019683106,-0.1602249145507812
base,ab,oil_extraction_ban,10000,10,human,4.0,1,A=human|B=ecological,0,B,0.1480471980316894,-1.9102249145507812
base,ab,oil_extraction_ban,100000,10,human,5.0,0,A=ecological|B=human,0,A,5.8291265661138624e-05,-9.750057220458984
base,ab,oil_extraction_ban,100000,10,human,5.0,0,A=ecological|B=human,1,B,0.9999417087343389,-5.7220458984375e-05
base,ab,oil_extraction_ban,100000,10,human,5.0,1,A=human|B=ecological,1,A,0.8807970779778823,-0.1269264221191406
base,ab,oil_extraction_ban,100000,10,human,5.0,1,A=human|B=ecological,0,B,0.1192029220221175,-2.1269264221191406
base,ab,oil_extraction_ban,1000000,10,human,6.0,0,A=ecological|B=human,0,A,3.5356250741744335e-05,-10.25003433227539
base,ab,oil_extraction_ban,1000000,10,human,6.0,0,A=ecological|B=human,1,B,0.9999646437492582,-3.4332275390625e-05
base,ab,oil_extraction_ban,1000000,10,human,6.0,1,A=human|B=ecological,1,A,0.8175744761936437,-0.2014122009277343
base,ab,oil_extraction_ban,1000000,10,human,6.0,1,A=human|B=ecological,0,B,0.1824255238063563,-1.7014122009277344
base,ab,wildfire_restoration,1,1000000,environment,-5.0,0,A=ecological|B=human,0,A,0.9998415637808976,-0.0001602172851562
base,ab,wildfire_restoration,1,1000000,environment,-5.0,0,A=ecological|B=human,1,B,0.0001584362191025,-8.750160217285156
base,ab,wildfire_restoration,1,1000000,environment,-5.0,1,A=human|B=ecological,1,A,0.1480471980316894,-1.9102249145507812
base,ab,wildfire_restoration,1,1000000,environment,-5.0,1,A=human|B=ecological,0,B,0.8519528019683106,-0.1602249145507812
base,ab,wildfire_restoration,1,100000,environment,-4.0,0,A=ecological|B=human,0,A,0.9995694429186754,-0.0004310607910156
base,ab,wildfire_restoration,1,100000,environment,-4.0,0,A=ecological|B=human,1,B,0.0004305570813246,-7.750431060791016
base,ab,wildfire_restoration,1,100000,environment,-4.0,1,A=human|B=ecological,1,A,0.320821300824607,-1.136871337890625
base,ab,wildfire_restoration,1,100000,environment,-4.0,1,A=human|B=ecological,0,B,0.679178699175393,-0.386871337890625
base,ab,wildfire_restoration,1,10000,environment,-3.0,0,A=ecological|B=human,0,A,0.9990889488055994,-0.0009117126464843
base,ab,wildfire_restoration,1,10000,environment,-3.0,0,A=ecological|B=human,1,B,0.0009110511944006,-7.000911712646484
base,ab,wildfire_restoration,1,10000,environment,-3.0,1,A=human|B=ecological,1,A,0.5,-0.693145751953125
base,ab,wildfire_restoration,1,10000,environment,-3.0,1,A=human|B=ecological,0,B,0.5,-0.693145751953125
base,ab,wildfire_restoration,1,1000,environment,-2.0,0,A=ecological|B=human,0,A,0.9994472213630764,-0.0005531311035156
base,ab,wildfire_restoration,1,1000,environment,-2.0,0,A=ecological|B=human,1,B,0.0005527786369235,-7.500553131103516
base,ab,wildfire_restoration,1,1000,environment,-2.0,1,A=human|B=ecological,1,A,0.679178699175393,-0.386871337890625
base,ab,wildfire_restoration,1,1000,environment,-2.0,1,A=human|B=ecological,0,B,0.320821300824607,-1.136871337890625
base,ab,wildfire_restoration,1,100,environment,-1.0,0,A=ecological|B=human,0,A,0.9995694429186754,-0.0004310607910156
base,ab,wildfire_restoration,1,100,environment,-1.0,0,A=ecological|B=human,1,B,0.0004305570813246,-7.750431060791016
base,ab,wildfire_restoration,1,100,environment,-1.0,1,A=human|B=ecological,1,A,0.9525741268224334,-0.0485877990722656
base,ab,wildfire_restoration,1,100,environment,-1.0,1,A=human|B=ecological,0,B,0.0474258731775667,-3.0485877990722656
base,ab,wildfire_restoration,1,10,anchor,0.0,0,A=ecological|B=human,0,A,0.9980732653366724,-0.0019302368164062
base,ab,wildfire_restoration,1,10,anchor,0.0,0,A=ecological|B=human,1,B,0.0019267346633274,-6.251930236816406
base,ab,wildfire_restoration,1,10,anchor,0.0,1,A=human|B=ecological,1,A,0.9525741268224334,-0.0485877990722656
base,ab,wildfire_restoration,1,10,anchor,0.0,1,A=human|B=ecological,0,B,0.0474258731775667,-3.0485877990722656
base,ab,wildfire_restoration,10,10,human,1.0,0,A=ecological|B=human,0,A,0.0024726231566347,-6.002475738525391
base,ab,wildfire_restoration,10,10,human,1.0,0,A=ecological|B=human,1,B,0.9975273768433652,-0.0024757385253906
base,ab,wildfire_restoration,10,10,human,1.0,1,A=human|B=ecological,1,A,0.9995694429186754,-0.0004310607910156
base,ab,wildfire_restoration,10,10,human,1.0,1,A=human|B=ecological,0,B,0.0004305570813246,-7.750431060791016
base,ab,wildfire_restoration,100,10,human,2.0,0,A=ecological|B=human,0,A,0.0001584362191025,-8.750160217285156
base,ab,wildfire_restoration,100,10,human,2.0,0,A=ecological|B=human,1,B,0.9998415637808976,-0.0001602172851562
base,ab,wildfire_restoration,100,10,human,2.0,1,A=human|B=ecological,1,A,0.9999417087343389,-5.7220458984375e-05
base,ab,wildfire_restoration,100,10,human,2.0,1,A=human|B=ecological,0,B,5.8291265661138624e-05,-9.750057220458984
base,ab,wildfire_restoration,1000,10,human,3.0,0,A=ecological|B=human,0,A,2.7535691114583453e-05,-10.50002670288086
base,ab,wildfire_restoration,1000,10,human,3.0,0,A=ecological|B=human,1,B,0.9999724643088852,-2.6702880859375e-05
base,ab,wildfire_restoration,1000,10,human,3.0,1,A=human|B=ecological,1,A,0.9999546021312976,-4.57763671875e-05
base,ab,wildfire_restoration,1000,10,human,3.0,1,A=human|B=ecological,0,B,4.5397868702434354e-05,-10.000045776367188
base,ab,wildfire_restoration,10000,10,human,4.0,0,A=ecological|B=human,0,A,2.2603242979035755e-06,-13.000003814697266
base,ab,wildfire_restoration,10000,10,human,4.0,0,A=ecological|B=human,1,B,0.999997739675702,-3.814697265625e-06
base,ab,wildfire_restoration,10000,10,human,4.0,1,A=human|B=ecological,1,A,0.9999785550515792,-2.288818359375e-05
base,ab,wildfire_restoration,10000,10,human,4.0,1,A=human|B=ecological,0,B,2.1444948420913944e-05,-10.750022888183594
base,ab,wildfire_restoration,100000,10,human,5.0,0,A=ecological|B=human,0,A,8.315280276641322e-07,-14.0
base,ab,wildfire_restoration,100000,10,human,5.0,0,A=ecological|B=human,1,B,0.9999991684719722,0.0
base,ab,wildfire_restoration,100000,10,human,5.0,1,A=human|B=ecological,1,A,0.9999038975845004,-9.5367431640625e-05
base,ab,wildfire_restoration,100000,10,human,5.0,1,A=human|B=ecological,0,B,9.610241549947392e-05,-9.25009536743164
base,ab,wildfire_restoration,1000000,10,human,6.0,0,A=ecological|B=human,0,A,3.0590222692562456e-07,-15.0
base,ab,wildfire_restoration,1000000,10,human,6.0,0,A=ecological|B=human,1,B,0.999999694097773,0.0
base,ab,wildfire_restoration,1000000,10,human,6.0,1,A=human|B=ecological,1,A,0.9997965730219448,-0.0002021789550781
base,ab,wildfire_restoration,1000000,10,human,6.0,1,A=human|B=ecological,0,B,0.0002034269780552,-8.500202178955078
base,abc,pesticide_ban,1,1000000,environment,-5.0,0,A=ecological|B=human|C=abstain,0,A,0.999925153640744,-7.62939453125e-05
base,abc,pesticide_ban,1,1000000,environment,-5.0,0,A=ecological|B=human|C=abstain,1,B,7.484622750074985e-05,-9.500076293945312
base,abc,pesticide_ban,1,1000000,environment,-5.0,0,A=ecological|B=human|C=abstain,2,C,1.3175528055974667e-10,-22.750076293945312
base,abc,pesticide_ban,1,1000000,environment,-5.0,1,A=ecological|B=abstain|C=human,0,A,0.995929860691916,-0.0040779113769531
base,abc,pesticide_ban,1,1000000,environment,-5.0,1,A=ecological|B=abstain|C=human,2,B,1.5986945533797624e-09,-20.254077911376953
base,abc,pesticide_ban,1,1000000,environment,-5.0,1,A=ecological|B=abstain|C=human,1,C,0.0040701377093892,-5.504077911376953
base,abc,pesticide_ban,1,1000000,environment,-5.0,2,A=human|B=ecological|C=abstain,1,A,0.999996273357617,-3.814697265625e-06
base,abc,pesticide_ban,1,1000000,environment,-5.0,2,A=human|B=ecological|C=abstain,0,B,3.7266392841750138e-06,-12.500003814697266
base,abc,pesticide_ban,1,1000000,environment,-5.0,2,A=human|B=ecological|C=abstain,2,C,3.098807590531081e-12,-26.500003814697266
base,abc,pesticide_ban,1,1000000,environment,-5.0,3,A=human|B=abstain|C=ecological,1,A,0.9241418189110784,-0.078887939453125
base,abc,pesticide_ban,1,1000000,environment,-5.0,3,A=human|B=abstain|C=ecological,2,B,1.1553185438595443e-09,-20.578887939453125
base,abc,pesticide_ban,1,1000000,environment,-5.0,3,A=human|B=abstain|C=ecological,0,C,0.0758581799336031,-2.578887939453125
base,abc,pesticide_ban,1,1000000,environment,-5.0,4,A=abstain|B=ecological|C=human,2,A,5.6027235298537144e-09,-19.000011444091797
base,abc,pesticide_ban,1,1000000,environment,-5.0,4,A=abstain|B=ecological|C=human,0,B,1.3007128393600692e-05,-11.250011444091797
base,abc,pesticide_ban,1,1000000,environment,-5.0,4,A=abstain|B=ecological|C=human,1,C,0.9999869872688828,-1.1444091796875e-05
base,abc,pesticide_ban,1,1000000,environment,-5.0,5,A=abstain|B=human|C=ecological,2,A,1.396686127050929e-09,-20.389163970947266
base,abc,pesticide_ban,1,1000000,environment,-5.0,5,A=abstain|B=human|C=ecological,1,B,0.0140636270236029,-4.264163970947266
base,abc,pesticide_ban,1,1000000,environment,-5.0,5,A=abstain|B=human|C=ecological,0,C,0.9859363715797108,-0.0141639709472656
base,abc,pesticide_ban,1,100000,environment,-4.0,0,A=ecological|B=human|C=abstain,0,A,0.9999546020690616,-4.57763671875e-05
base,abc,pesticide_ban,1,100000,environment,-4.0,0,A=ecological|B=human|C=abstain,1,B,4.539786869960888e-05,-10.000045776367188
base,abc,pesticide_ban,1,100000,environment,-4.0,0,A=ecological|B=human|C=abstain,2,C,6.223862059620051e-11,-23.500045776367188
base,abc,pesticide_ban,1,100000,environment,-4.0,1,A=ecological|B=abstain|C=human,0,A,0.9968273155624564,-0.0031776428222656
base,abc,pesticide_ban,1,100000,environment,-4.0,1,A=ecological|B=abstain|C=human,2,B,1.6001351731162154e-09,-20.253177642822266
base,abc,pesticide_ban,1,100000,environment,-4.0,1,A=ecological|B=abstain|C=human,1,C,0.0031726828374084,-5.753177642822266
base,abc,pesticide_ban,1,100000,environment,-4.0,2,A=human|B=ecological|C=abstain,1,A,0.9999962733541556,-3.814697265625e-06
base,abc,pesticide_ban,1,100000,environment,-4.0,2,A=human|B=ecological|C=abstain,0,B,3.7266392841621113e-06,-12.500003814697266
base,abc,pesticide_ban,1,100000,environment,-4.0,2,A=human|B=ecological|C=abstain,2,C,6.560175720611079e-12,-25.750003814697266
base,abc,pesticide_ban,1,100000,environment,-4.0,3,A=human|B=abstain|C=ecological,1,A,0.9706877683312652,-0.0297508239746093
base,abc,pesticide_ban,1,100000,environment,-4.0,3,A=human|B=abstain|C=ecological,2,B,9.450810553861414e-10,-20.77975082397461
base,abc,pesticide_ban,1,100000,environment,-4.0,3,A=human|B=abstain|C=ecological,0,C,0.0293122307236538,-3.52975082397461
base,abc,pesticide_ban,1,100000,environment,-4.0,4,A=abstain|B=ecological|C=human,2,A,9.237295298099352e-09,-18.500015258789062
base,abc,pesticide_ban,1,100000,environment,-4.0,4,A=abstain|B=ecological|C=human,0,B,1.6701421693819222e-05,-11.000015258789062
base,abc,pesticide_ban,1,100000,environment,-4.0,4,A=abstain|B=ecological|C=human,1,C,0.999983289341011,-1.52587890625e-05
base,abc,pesticide_ban,1,100000,environment,-4.0,5,A=abstain|B=human|C=ecological,2,A,1.7933804855571366e-09,-20.139163970947266
base,abc,pesticide_ban,1,100000,environment,-4.0,5,A=abstain|B=human|C=ecological,1,B,0.014063627018024,-4.264163970947266
base,abc,pesticide_ban,1,100000,environment,-4.0,5,A=abstain|B=human|C=ecological,0,C,0.9859363711885956,-0.0141639709472656
base,abc,pesticide_ban,1,10000,environment,-3.0,0,A=ecological|B=human|C=abstain,0,A,0.9999546020513852,-4.57763671875e-05
